seating,name,calories,protein,carbs,fat,organic,vegetarian,glutenFree,vegan
Breakfast,Assorted Bagels,310.00,11.00,62.00,3.00,false,true,false,false
Breakfast,Assorted Donuts,213.77,2.47,23.91,12.17,false,true,false,false
Breakfast,Banana Bread,272.93,3.90,33.03,15.19,false,true,false,false
Breakfast,Orange Coffee Pecan Cake,337.94,3.97,37.31,20.75,false,true,false,false
Breakfast,Vegan Granola Bars,233.37,2.82,38.20,8.43,false,false,false,true
Breakfast,Chocolate Zucchini Muffin,177.90,2.23,22.98,9.62,false,true,false,false
Breakfast,Thumbprint Breakfast Cookie,69.56,2.02,13.27,1.26,false,false,false,true
Breakfast,Greek Vanilla Yogurt Parfait,172.73,10.73,30.25,3.20,false,true,false,false
Breakfast,Organic Strawberry Yogurt Parfait,186.34,6.40,35.65,4.01,true,true,false,false
Breakfast,Cheese Omelet,177.24,13.09,1.00,12.97,false,true,true,false
Breakfast,Assorted Veggie Toppings,35.02,2.56,7.05,0.31,false,false,true,true
Breakfast,Bacon,140.00,8.00,0,12.00,false,false,true,false
Breakfast,Sliced Ham,70.87,10.12,1.01,3.04,false,false,true,false
Breakfast,Sliced Turkey,50.62,11.14,1.01,1.01,false,false,true,false
Breakfast,Fried Tater Tots,246.27,2.59,24.62,14.91,false,false,true,true
Breakfast,Scrambled Eggs,155.48,10.87,0.60,11.78,false,true,true,false
Breakfast,Cage Free Hard Boiled Egg,77.50,6.29,0.56,5.30,false,true,true,false
Breakfast,Veggie Sausage Patties,194.00,24.00,6.00,8.00,false,true,false,false
Breakfast,Bacon,140.00,8.00,0,12.00,false,false,true,false
Breakfast,Grilled Ham Steak,56.70,7.94,0.57,2.83,false,false,true,false
Breakfast,Pork Sausage Gravy,79.41,2.94,5.79,4.96,false,false,true,false
Breakfast,Biscuits,160.00,3.00,18.00,9.00,false,true,false,false
Breakfast,Breakfast Potatoes,180.52,2.58,24.50,8.38,false,false,true,true
Breakfast,Whole Wheat French Toast,130.89,7.35,19.81,2.39,false,true,false,false
Breakfast,Quaker Grits,103.50,2.39,23.09,0.40,false,false,false,true
Breakfast,Old Fashioned Oatmeal,148.66,4.96,26.76,2.97,false,false,true,true
Breakfast,Cream of Rice,82.48,1.55,18.56,0,false,false,true,true
Breakfast,100% Apple Juice,110.00,0,28.00,0,false,false,true,true
Breakfast,100% Cranberry Juice,140.00,0,36.00,0,false,false,true,true
Breakfast,100% Orange Juice,120.00,0,31.00,0,false,false,true,true
Breakfast,Strawberry Kiwi Juice,120.00,0,30.00,0,false,false,true,true
Breakfast,Skim Milk,83.30,8.26,12.15,0.20,false,true,true,false
Breakfast,Reduced Fat Milk,122.00,8.05,11.71,4.83,false,true,true,false
Breakfast,Whole Milk,148.84,7.69,11.71,7.93,false,true,true,false
Breakfast,Low Fat Chocolate Milk,157.50,8.10,26.10,2.50,false,true,true,false
Breakfast,Chocolate Soymilk,120.00,5.00,19.00,3.00,false,false,true,true
Breakfast,Vanilla Soymilk,100.00,6.00,10.00,3.50,false,false,true,true
Breakfast,Lactose Free Milk,90.00,8.00,12.00,0,false,true,true,false
Breakfast,Root Beer,100.00,0,26.00,0,false,false,true,true
Breakfast,Sierra Mist,100.00,0,27.00,0,false,false,true,true
Breakfast,Sunkist Orange,113.33,0,29.33,0,false,true,true,false
Breakfast,Tropicana Fruit Punch,110.00,0,30.00,0,false,false,true,true
Breakfast,Tropicana Lemonade,100.00,0,27.00,0,false,false,true,true
Breakfast,Pepsi,100.00,0,28.00,0,false,false,true,true
Breakfast,Mountain Dew,110.00,0,29.00,0,false,false,true,true
Breakfast,Cheerwine,100.00,0,28.00,0,false,false,true,true
Breakfast,Diet Dr. Pepper,0,0,0,0,false,false,true,true
Breakfast,Diet Pepsi,0,0,0,0,false,false,true,true
Breakfast,Dr. Pepper,100.00,0,26.40,0,false,false,true,true
Breakfast,Gatorade Fruit Punch,80.00,0,21.00,0,false,false,true,true
Breakfast,Wild Cherry Pepsi,100.00,0,28.00,0,false,false,true,true
Breakfast,Apple Jacks,110.00,1.00,25.00,1.00,false,false,false,true
Breakfast,Cheerios,100.00,3.00,20.00,2.00,false,false,true,true
Breakfast,Cinnamon Toast Crunch,118.18,0.91,22.73,2.73,false,true,false,false
Breakfast,Froot Loops,110.00,1.00,26.00,1.00,false,false,false,true
Breakfast,Lucky Charms,110.00,2.00,22.00,1.00,false,true,false,false
Breakfast,Raisin Bran,190.00,5.00,46.00,1.00,false,false,false,true
Breakfast,Rice Chex,100.00,2.00,23.00,0,false,false,true,true
Breakfast,Rice Krispies,104.00,1.60,23.20,0,false,false,false,true
Breakfast,Special K,120.00,6.00,23.00,0.50,false,false,false,false
Breakfast,Ketchup,33.00,0,4.00,0,false,false,true,true
Breakfast,Mustard,0,0,1.00,0,false,false,true,true
Breakfast,Mayonnaise,90.00,0,0,10.00,false,true,true,false
Breakfast,Oil and Vinegar,186.05,0.03,1.21,20.98,false,false,true,true
Breakfast,Tabasco Hot Sauce,0,0,0,0,false,false,true,true
Breakfast,A.1. Steak Sauce,15.00,0,3.00,0,false,false,true,true
Breakfast,Margarine,100.00,0,0,11.00,false,false,true,true
Breakfast,Grape Jelly,35.00,0,9.00,0,false,false,true,true
Breakfast,Strawberry Jelly,35.00,0,9.00,0,false,false,true,true
Breakfast,Peanut Butter,120.00,4.00,5.00,11.00,false,false,true,true
Breakfast,All Natural Peanut Butter,122.85,4.97,4.52,10.43,false,false,true,true
Breakfast,Plain Cream Cheese,90.00,2.00,2.00,9.00,false,true,true,false
Breakfast,Strawberry Cream Cheese,90.00,1.00,5.00,8.00,false,true,true,false
Breakfast,Chives and Onion Cream Cheese,90.00,2.00,2.00,9.00,false,true,true,false
Breakfast,Garden Vegetable Cream Cheese,90.00,1.00,2.00,8.00,false,true,true,false
Lunch,Assorted Brownies,222.91,2.63,28.35,12.22,false,true,false,false
Lunch,Assorted Cookies,164.96,2.02,23.57,7.41,false,true,false,false
Lunch,Coconut Lime Panna Cotta,115.00,0.63,19.60,4.95,false,false,true,false
Lunch,Coconut Macaroon,127.41,1.64,18.71,5.56,false,true,true,false
Lunch,Mini Cheesecake,118.44,1.42,9.73,8.25,false,true,false,false
Lunch,Vegan Energy Bites,270.53,6.73,30.46,14.08,false,false,true,true
Lunch,Rice Krispie Treats,357.47,2.03,46.68,17.82,false,false,false,false
Lunch,Ice Cream Cone,19.84,0,3.97,0,false,false,false,true
Lunch,Assorted Ice Cream,100.00,3.00,16.00,3.25,false,true,true,false
Lunch,Fajita- Style Turkey,109.14,11.28,5.58,5.21,false,false,true,false
Lunch,Southwest Taco Salad,518.56,12.67,73.95,21.62,false,true,true,false
Lunch,BBQ Bacon Pizza ,278.79,13.30,32.35,10.98,false,false,false,false
Lunch,Goat Cheese and Spinach Pizza,229.58,16.24,21.23,10.53,false,true,false,false
Lunch,Classic Cheese Pizza,213.13,7.64,19.89,12.50,false,true,false,false
Lunch,Classic Pepperoni Pizza,232.12,8.40,20.01,14.27,false,false,false,false
Lunch,Sausage Lasagna,374.27,19.93,30.98,18.07,false,false,false,false
Lunch,Cheese Omelet,177.24,13.09,1.00,12.97,false,true,true,false
